"data.country","data.iso_code","data.gid_0","data.survey_date","anxious_7d","depressed_7d","finance","food_security","worried_become_ill"
"Albania","ALB","ALB",2020-06-02,0.027751,0.046198,0.510253,NA,NA
"Albania","ALB","ALB",2020-06-03,0.053149,0.047792,0.540351,NA,NA
"Albania","ALB","ALB",2020-06-04,0.047559,0.059524,0.510039,NA,NA
"Albania","ALB","ALB",2020-06-05,0.069148,0.075464,0.605082,NA,NA
"Albania","ALB","ALB",2020-06-06,0.072309,0.156958,0.637172,NA,NA
"Albania","ALB","ALB",2020-06-07,0.077672,0.044877,0.749255,NA,NA
"Albania","ALB","ALB",2020-06-08,0.043708,0.075575,0.588363,NA,NA
"Albania","ALB","ALB",2020-06-09,0.098161,0.139243,0.584692,NA,NA
"Albania","ALB","ALB",2020-06-10,0.029888,0.025624,0.571132,NA,NA
"Albania","ALB","ALB",2020-06-11,0.091436,0.088787,0.717579,NA,NA
"Albania","ALB","ALB",2020-06-12,0.114209,0.135319,0.684591,NA,NA
"Albania","ALB","ALB",2020-06-13,0.030007,0.051974,0.595465,NA,NA
"Albania","ALB","ALB",2020-06-14,0.069989,0.090776,0.55647,NA,NA
"Albania","ALB","ALB",2020-06-15,0.075305,0.027711,0.722657,NA,NA
"Albania","ALB","ALB",2020-06-16,0.053601,0.049511,0.540639,NA,NA
"Albania","ALB","ALB",2020-06-17,0.070331,0.091378,0.551312,NA,NA
"Albania","ALB","ALB",2020-06-18,0.045754,0.07432,0.63159,NA,NA
"Albania","ALB","ALB",2020-06-19,0.095777,0.082344,0.62794,NA,NA
"Albania","ALB","ALB",2020-06-20,0.088844,0.091721,0.659763,NA,NA
"Albania","ALB","ALB",2020-06-21,0.016452,0.04018,0.542199,NA,NA
"Albania","ALB","ALB",2020-06-22,0.051898,0.05959,0.669596,NA,NA
"Albania","ALB","ALB",2020-06-23,0.184065,0.178833,0.735689,NA,NA
"Albania","ALB","ALB",2020-06-24,0.038702,0.020757,0.525217,NA,NA
"Albania","ALB","ALB",2020-06-25,0.103491,0.073543,0.53436,NA,NA
"Albania","ALB","ALB",2020-06-26,0.034481,0.028843,0.45465,NA,NA
"Albania","ALB","ALB",2020-06-27,0.048071,0.062591,0.619335,NA,NA
"Albania","ALB","ALB",2020-06-28,0.078297,0.039838,0.639189,NA,NA
"Albania","ALB","ALB",2020-06-29,0.068417,0.073335,0.542044,NA,NA
"Albania","ALB","ALB",2020-06-30,0.027077,0.069342,0.493667,NA,NA
"Albania","ALB","ALB",2020-07-01,0.118397,0.066664,0.626963,NA,NA
"Albania","ALB","ALB",2020-07-02,0.078957,0.08054,0.605897,NA,NA
"Albania","ALB","ALB",2020-07-03,0.068217,0.057583,0.589546,NA,NA
"Albania","ALB","ALB",2020-07-04,0.031814,0.029743,0.596155,NA,NA
"Albania","ALB","ALB",2020-07-05,0.10702,0.092276,0.522497,NA,NA
"Albania","ALB","ALB",2020-07-06,0.062234,0.066849,0.500575,NA,NA
"Albania","ALB","ALB",2020-07-07,0.063289,0.064743,0.540777,NA,NA
"Albania","ALB","ALB",2020-07-08,0.015086,0.028897,0.548805,NA,NA
"Albania","ALB","ALB",2020-07-09,0.049561,0.071931,0.605976,NA,NA
"Albania","ALB","ALB",2020-07-10,0.160345,0.090796,0.595945,NA,NA
"Albania","ALB","ALB",2020-07-11,0.03801,0.030366,0.603502,NA,NA
"Albania","ALB","ALB",2020-07-12,0.140065,0.116449,0.539326,NA,NA
"Albania","ALB","ALB",2020-07-13,0.072015,0.065445,0.428302,NA,NA
"Albania","ALB","ALB",2020-07-14,0.030694,0.044422,0.491292,NA,NA
"Albania","ALB","ALB",2020-07-15,0.127267,0.11062,0.745244,NA,NA
"Albania","ALB","ALB",2020-07-16,0.067552,0.039621,0.576482,NA,NA
"Albania","ALB","ALB",2020-07-17,0.027947,0.031704,0.469748,NA,NA
"Albania","ALB","ALB",2020-07-18,0.061954,0.111246,0.635438,NA,NA
"Albania","ALB","ALB",2020-07-19,0.045664,0.062682,0.600288,NA,NA
"Albania","ALB","ALB",2020-07-20,0.096861,0.102315,0.559376,NA,NA
"Albania","ALB","ALB",2020-07-21,0.094294,0.106964,0.536646,NA,NA
"Albania","ALB","ALB",2020-07-22,0.03296,0.159449,0.514638,NA,NA
"Albania","ALB","ALB",2020-07-23,0.070992,0.072791,0.595916,NA,NA
"Albania","ALB","ALB",2020-07-24,0.05376,0.089447,0.623804,NA,NA
"Albania","ALB","ALB",2020-07-25,0.071517,0.060956,0.509018,NA,NA
"Albania","ALB","ALB",2020-07-26,0.06363,0.059117,0.506175,NA,NA
"Albania","ALB","ALB",2020-07-27,0.022051,0.061931,0.536303,NA,NA
"Albania","ALB","ALB",2020-07-28,0.153839,0.14452,0.549806,NA,NA
"Albania","ALB","ALB",2020-07-29,0.089915,0.037666,0.654935,NA,NA
"Albania","ALB","ALB",2020-07-30,0.09508,0.108663,0.542158,NA,NA
"Albania","ALB","ALB",2020-07-31,0.029368,0.034697,0.659987,NA,NA
"Albania","ALB","ALB",2020-08-01,0.066788,0.054805,0.506242,NA,NA
"Albania","ALB","ALB",2020-08-02,0.06711,0.13082,0.625327,NA,NA
"Albania","ALB","ALB",2020-08-03,0.084788,0.056068,0.538491,NA,NA
"Albania","ALB","ALB",2020-08-04,0.101023,0.118656,0.447742,NA,NA
"Albania","ALB","ALB",2020-08-05,0.046004,0.066796,0.610183,NA,NA
"Albania","ALB","ALB",2020-08-06,0.123057,0.062087,0.696431,NA,NA
"Albania","ALB","ALB",2020-08-07,0.04978,0.081604,0.510172,NA,NA
"Albania","ALB","ALB",2020-08-08,0.021219,0.04779,0.516868,NA,NA
"Albania","ALB","ALB",2020-08-09,0.038115,0.045426,0.65007,NA,NA
"Albania","ALB","ALB",2020-08-10,0.147658,0.080558,0.541062,NA,NA
"Albania","ALB","ALB",2020-08-11,0.092473,0.082563,0.51662,NA,NA
"Albania","ALB","ALB",2020-08-12,0.065713,0.080109,0.454453,NA,NA
"Albania","ALB","ALB",2020-08-13,0.021921,0.094542,0.54902,NA,NA
"Albania","ALB","ALB",2020-08-14,0.050861,0.041576,0.66615,NA,NA
"Albania","ALB","ALB",2020-08-15,0.140142,0.159283,0.578065,NA,NA
"Albania","ALB","ALB",2020-08-16,0.105659,0.089817,0.543712,NA,NA
"Albania","ALB","ALB",2020-08-17,0.053169,0.041117,0.513032,NA,NA
"Albania","ALB","ALB",2020-08-18,0.046771,0.088004,0.404169,NA,NA
"Albania","ALB","ALB",2020-08-19,0.050006,0.071979,0.552613,NA,NA
"Albania","ALB","ALB",2020-08-20,0.048556,0.061976,0.524575,NA,NA
"Albania","ALB","ALB",2020-08-21,0.060679,0.087915,0.646196,NA,NA
"Albania","ALB","ALB",2020-08-22,0.042543,0.050777,0.496716,NA,NA
"Albania","ALB","ALB",2020-08-23,0.061699,0.231921,0.718519,NA,NA
"Albania","ALB","ALB",2020-08-24,0.06138,0.047811,0.658026,NA,NA
"Albania","ALB","ALB",2020-08-25,0.126604,0.134999,0.455851,NA,NA
"Albania","ALB","ALB",2020-08-26,0.118361,0.150658,0.502284,NA,NA
"Albania","ALB","ALB",2020-08-27,0.037966,0.101209,0.497334,NA,NA
"Albania","ALB","ALB",2020-08-29,0.161954,0.131548,0.600298,NA,NA
"Albania","ALB","ALB",2020-08-31,NA,0.125708,NA,NA,NA
"Albania","ALB","ALB",2020-09-01,0.042269,0.058874,0.512207,NA,NA
"Albania","ALB","ALB",2020-09-02,0.038949,0.048394,0.588605,NA,NA
"Albania","ALB","ALB",2020-12-06,0.082472,0.114808,0.47454,0.221546,0.793131
"Albania","ALB","ALB",2021-03-17,0.105619,NA,NA,NA,NA
"Albania","ALB","ALB",2021-03-21,0.093217,0.118567,NA,NA,NA
"Algeria","DZA","DZA",2020-04-23,0.046057,0.117314,NA,NA,NA
"Algeria","DZA","DZA",2020-04-24,0.070454,0.123524,NA,NA,NA
"Algeria","DZA","DZA",2020-04-25,0.122213,0.137135,NA,NA,NA
"Algeria","DZA","DZA",2020-04-26,0.082604,0.109492,NA,NA,NA
"Algeria","DZA","DZA",2020-04-27,0.086427,0.109237,NA,NA,NA
"Algeria","DZA","DZA",2020-04-28,0.054941,0.102707,NA,NA,NA
"Algeria","DZA","DZA",2020-04-29,0.047397,0.082932,NA,NA,NA
"Algeria","DZA","DZA",2020-05-01,0.110879,0.114629,NA,NA,NA
"Algeria","DZA","DZA",2020-05-02,0.090648,0.12139,NA,NA,NA
"Algeria","DZA","DZA",2020-05-03,0.070122,0.090788,NA,NA,NA
"Algeria","DZA","DZA",2020-05-04,0.09903,0.131834,0.446466,NA,NA
"Algeria","DZA","DZA",2020-05-05,0.089568,0.125083,0.417382,NA,NA
"Algeria","DZA","DZA",2020-05-06,0.079886,0.118747,0.36914,NA,NA
"Algeria","DZA","DZA",2020-05-07,0.065561,0.104422,0.381105,NA,NA
"Algeria","DZA","DZA",2020-05-08,0.071467,0.121284,0.432838,NA,NA
"Algeria","DZA","DZA",2020-05-09,0.069993,0.1128,0.42332,NA,NA
"Algeria","DZA","DZA",2020-05-10,0.061879,0.1064,0.370521,NA,NA
"Algeria","DZA","DZA",2020-05-11,0.079726,0.136073,0.415173,NA,NA
"Algeria","DZA","DZA",2020-05-12,0.05978,0.126345,0.406805,NA,NA
"Algeria","DZA","DZA",2020-05-13,0.089751,0.132021,0.390002,NA,NA
"Algeria","DZA","DZA",2020-05-14,0.082821,0.105371,0.438376,NA,NA
"Algeria","DZA","DZA",2020-05-15,0.078358,0.125562,0.405835,NA,NA
"Algeria","DZA","DZA",2020-05-16,0.068653,0.104393,0.396163,NA,NA
"Algeria","DZA","DZA",2020-05-17,0.069765,0.080764,0.405298,NA,NA
"Algeria","DZA","DZA",2020-05-18,0.066109,0.120915,0.442052,NA,NA
"Algeria","DZA","DZA",2020-05-19,0.071966,0.096036,0.399642,NA,NA
"Algeria","DZA","DZA",2020-05-20,0.08163,0.102822,0.439741,NA,NA
"Algeria","DZA","DZA",2020-05-21,0.079925,0.106227,0.38136,NA,NA
"Algeria","DZA","DZA",2020-05-22,0.07876,0.119699,0.359168,NA,NA
"Algeria","DZA","DZA",2020-05-23,0.069122,0.121195,0.415013,NA,NA
"Algeria","DZA","DZA",2020-05-24,0.06129,0.099702,0.373511,NA,NA
"Algeria","DZA","DZA",2020-05-25,0.067812,0.132755,0.398056,NA,NA
"Algeria","DZA","DZA",2020-05-26,0.075642,0.136897,0.462019,NA,NA
"Algeria","DZA","DZA",2020-05-27,0.059486,0.127532,0.38873,NA,NA
"Algeria","DZA","DZA",2020-05-28,0.083429,0.1135,0.430327,NA,NA
"Algeria","DZA","DZA",2020-05-29,0.061565,0.09584,0.394224,NA,NA
"Algeria","DZA","DZA",2020-05-30,0.087512,0.137736,0.397603,NA,NA
"Algeria","DZA","DZA",2020-05-31,0.090653,0.122136,0.379827,NA,NA
"Algeria","DZA","DZA",2020-06-01,0.082983,0.111816,0.418937,NA,NA
"Algeria","DZA","DZA",2020-06-02,0.106142,0.16889,0.423696,NA,NA
"Algeria","DZA","DZA",2020-06-03,0.077786,0.119219,0.420843,NA,NA
"Algeria","DZA","DZA",2020-06-04,0.116114,0.13095,0.406706,NA,NA
"Algeria","DZA","DZA",2020-06-05,0.098119,0.138003,0.420043,NA,NA
"Algeria","DZA","DZA",2020-06-06,0.086147,0.123125,0.43835,NA,NA
"Algeria","DZA","DZA",2020-06-07,0.070997,0.130766,0.389672,NA,NA
"Algeria","DZA","DZA",2020-06-08,0.094003,0.137146,0.393819,NA,NA
"Algeria","DZA","DZA",2020-06-09,0.055622,0.11402,0.431448,NA,NA
"Algeria","DZA","DZA",2020-06-10,0.082736,0.141207,0.438675,NA,NA
"Algeria","DZA","DZA",2020-06-11,0.075701,0.149762,0.432492,NA,NA
"Algeria","DZA","DZA",2020-06-12,0.080885,0.120019,0.397589,NA,NA
"Algeria","DZA","DZA",2020-06-13,0.058448,0.11518,0.390766,NA,NA
"Algeria","DZA","DZA",2020-06-14,0.079646,0.097993,0.408065,NA,NA
"Algeria","DZA","DZA",2020-06-15,0.083017,0.104477,0.460016,NA,NA
"Algeria","DZA","DZA",2020-06-16,0.102178,0.126191,0.381597,NA,NA
"Algeria","DZA","DZA",2020-06-17,0.122713,0.166583,0.373876,NA,NA
"Algeria","DZA","DZA",2020-06-18,0.080429,0.121176,0.365506,NA,NA
"Algeria","DZA","DZA",2020-06-19,0.120329,0.164296,0.418842,NA,NA
"Algeria","DZA","DZA",2020-06-20,0.104837,0.157556,0.410713,NA,NA
"Algeria","DZA","DZA",2020-06-21,0.091156,0.152558,0.39157,NA,NA
"Algeria","DZA","DZA",2020-06-22,0.084229,0.140243,0.39531,NA,NA
"Algeria","DZA","DZA",2020-06-23,0.10613,0.162512,0.421601,NA,NA
"Algeria","DZA","DZA",2020-06-24,0.09353,0.121389,0.394355,NA,NA
"Algeria","DZA","DZA",2020-06-25,0.117703,0.177419,0.442826,NA,NA
"Algeria","DZA","DZA",2020-06-26,0.118338,0.139141,0.446175,NA,NA
"Algeria","DZA","DZA",2020-06-27,0.1046,0.132252,0.393538,NA,NA
"Algeria","DZA","DZA",2020-06-28,0.112887,0.155494,0.400224,NA,NA
"Algeria","DZA","DZA",2020-06-29,0.086153,0.135126,0.447155,NA,NA
"Algeria","DZA","DZA",2020-06-30,0.128105,0.161852,0.413596,NA,NA
"Algeria","DZA","DZA",2020-07-01,0.095303,0.148795,0.458905,NA,NA
"Algeria","DZA","DZA",2020-07-02,0.136096,0.191226,0.402141,NA,NA
"Algeria","DZA","DZA",2020-07-03,0.108806,0.121038,0.398312,NA,NA
"Algeria","DZA","DZA",2020-07-04,0.111017,0.156296,0.36663,NA,NA
"Algeria","DZA","DZA",2020-07-05,0.107102,0.222799,0.433109,NA,NA
"Algeria","DZA","DZA",2020-07-06,0.119911,0.137553,0.424379,NA,NA
"Algeria","DZA","DZA",2020-07-07,0.090157,0.160892,0.374065,NA,NA
"Algeria","DZA","DZA",2020-07-08,0.088334,0.160661,0.443141,NA,NA
"Algeria","DZA","DZA",2020-07-09,0.111337,0.157068,0.413991,NA,NA
"Algeria","DZA","DZA",2020-07-10,0.159884,0.17718,0.491235,NA,NA
"Algeria","DZA","DZA",2020-07-11,0.116953,0.154621,0.452041,NA,NA
"Algeria","DZA","DZA",2020-07-12,0.128873,0.16676,0.387862,NA,NA
"Algeria","DZA","DZA",2020-07-13,0.114068,0.17072,0.432201,NA,NA
"Algeria","DZA","DZA",2020-07-14,0.10992,0.12859,0.420848,NA,NA
"Algeria","DZA","DZA",2020-07-15,0.188418,0.194094,0.467482,NA,NA
"Algeria","DZA","DZA",2020-07-16,0.146719,0.207646,0.41435,NA,NA
"Algeria","DZA","DZA",2020-07-17,0.1293,0.188953,0.38649,NA,NA
"Algeria","DZA","DZA",2020-07-18,0.139806,0.191514,0.451783,NA,NA
"Algeria","DZA","DZA",2020-07-19,0.15561,0.173746,0.419481,NA,NA
"Algeria","DZA","DZA",2020-07-20,0.087279,0.189824,0.390125,NA,NA
"Algeria","DZA","DZA",2020-07-21,0.107384,0.185467,0.402948,NA,NA
"Algeria","DZA","DZA",2020-07-22,0.160116,0.160496,0.418809,NA,NA
"Algeria","DZA","DZA",2020-07-23,0.14714,0.17288,0.411989,NA,NA
"Algeria","DZA","DZA",2020-07-24,0.100838,0.162286,0.406004,NA,NA
"Algeria","DZA","DZA",2020-07-25,0.144903,0.171781,0.420244,NA,NA
"Algeria","DZA","DZA",2020-07-26,0.103286,0.152069,0.407246,NA,NA
"Algeria","DZA","DZA",2020-07-27,0.15359,0.197762,0.494753,NA,NA
"Algeria","DZA","DZA",2020-07-28,0.159615,0.225168,0.443923,NA,NA
"Algeria","DZA","DZA",2020-07-29,0.114611,0.160297,0.522293,NA,NA
"Algeria","DZA","DZA",2020-07-30,0.096098,0.160276,0.458609,NA,NA
"Algeria","DZA","DZA",2020-07-31,0.104408,0.137361,0.356514,NA,NA
"Algeria","DZA","DZA",2020-08-01,0.129703,0.207507,0.407308,NA,NA
"Algeria","DZA","DZA",2020-08-02,0.094149,0.156305,0.375274,NA,NA
"Algeria","DZA","DZA",2020-08-03,0.117611,0.185256,0.374673,NA,NA
"Algeria","DZA","DZA",2020-08-04,0.11291,0.151848,0.39083,NA,NA
"Algeria","DZA","DZA",2020-08-05,0.140887,0.183305,0.42398,NA,NA
"Algeria","DZA","DZA",2020-08-06,0.117253,0.177342,0.400984,NA,NA
"Algeria","DZA","DZA",2020-08-07,0.130068,0.213425,0.443396,NA,NA
"Algeria","DZA","DZA",2020-08-08,0.12223,0.130736,0.367171,NA,NA
"Algeria","DZA","DZA",2020-08-09,0.114062,0.156189,0.393153,NA,NA
"Algeria","DZA","DZA",2020-08-10,0.140441,0.17599,0.442405,NA,NA
"Algeria","DZA","DZA",2020-08-11,0.120372,0.123716,0.40116,NA,NA
"Algeria","DZA","DZA",2020-08-12,0.131524,0.168204,0.419775,NA,NA
"Algeria","DZA","DZA",2020-08-13,0.13257,0.171383,0.42266,NA,NA
"Algeria","DZA","DZA",2020-08-14,0.112839,0.174791,0.407571,NA,NA
"Algeria","DZA","DZA",2020-08-15,0.136536,0.195283,0.407107,NA,NA
"Algeria","DZA","DZA",2020-08-16,0.1538,0.228615,0.410672,NA,NA
"Algeria","DZA","DZA",2020-08-17,0.113535,0.143899,0.359724,NA,NA
"Algeria","DZA","DZA",2020-08-18,0.12348,0.150255,0.427657,NA,NA
"Algeria","DZA","DZA",2020-08-19,0.09895,0.153492,0.422565,NA,NA
"Algeria","DZA","DZA",2020-08-20,0.173339,0.23288,0.407115,NA,NA
"Algeria","DZA","DZA",2020-08-21,0.138466,0.115968,0.415761,NA,NA
"Algeria","DZA","DZA",2020-08-22,0.13223,0.162852,0.456581,NA,NA
"Algeria","DZA","DZA",2020-08-23,0.078843,0.079067,NA,NA,NA
"Algeria","DZA","DZA",2020-08-24,0.069471,0.13761,0.444298,NA,NA
"Algeria","DZA","DZA",2020-08-25,0.053287,0.161947,0.344624,NA,NA
"Algeria","DZA","DZA",2020-08-27,0.078523,0.071162,0.314889,NA,NA
"Algeria","DZA","DZA",2020-08-28,0.061712,0.131052,0.437671,NA,NA
"Algeria","DZA","DZA",2020-08-29,0.101128,0.144739,0.377748,NA,NA
"Algeria","DZA","DZA",2020-08-30,0.114333,0.142299,0.40637,NA,NA
"Algeria","DZA","DZA",2020-08-31,0.190778,0.167831,0.44933,NA,NA
"Algeria","DZA","DZA",2020-09-01,0.080198,0.158753,0.496826,NA,NA
"Algeria","DZA","DZA",2020-09-02,0.08572,0.121554,0.345867,NA,NA
"Algeria","DZA","DZA",2020-09-03,0.111861,0.191053,0.376149,NA,NA
"Algeria","DZA","DZA",2020-09-04,0.122096,0.07984,0.361043,NA,NA
"Algeria","DZA","DZA",2020-09-05,0.105399,0.118072,0.425932,NA,NA
"Algeria","DZA","DZA",2020-09-08,0.056607,0.100398,0.326228,NA,NA
"Algeria","DZA","DZA",2020-09-09,0.098142,0.157672,0.348726,NA,NA
"Algeria","DZA","DZA",2020-09-10,0.132772,0.117715,0.491738,NA,NA
"Algeria","DZA","DZA",2020-09-18,0.063141,0.123468,0.374154,NA,NA
"Algeria","DZA","DZA",2020-09-19,0.024646,0.081912,0.483141,NA,NA
"Algeria","DZA","DZA",2020-09-22,0.087251,0.152453,0.339741,NA,NA
"Algeria","DZA","DZA",2020-09-23,0.053612,0.052531,0.30512,NA,NA
"Algeria","DZA","DZA",2020-09-26,0.120808,0.214512,0.310196,NA,NA
"Algeria","DZA","DZA",2020-09-27,0.076295,0.145714,0.387415,NA,NA
"Algeria","DZA","DZA",2020-09-28,0.068584,0.10342,0.510971,NA,NA
"Algeria","DZA","DZA",2020-09-29,0.110645,0.194824,0.378216,NA,NA
"Algeria","DZA","DZA",2020-10-02,0.09869,0.133419,0.401634,NA,NA
"Algeria","DZA","DZA",2020-10-03,0.107805,0.107913,0.451073,NA,NA
"Algeria","DZA","DZA",2020-10-04,0.086705,0.125185,0.358423,NA,NA
"Algeria","DZA","DZA",2020-10-05,0.124044,0.164884,0.440848,NA,NA
"Algeria","DZA","DZA",2020-10-06,0.133665,0.16648,0.378623,NA,NA
"Algeria","DZA","DZA",2020-10-07,0.140871,0.146468,0.438526,NA,NA
"Algeria","DZA","DZA",2020-10-09,0.0343,0.073839,0.406603,NA,NA
"Algeria","DZA","DZA",2020-10-10,0.135343,0.182501,0.4002,NA,NA
"Algeria","DZA","DZA",2020-10-12,0.080876,0.089671,NA,NA,NA
"Algeria","DZA","DZA",2020-10-13,0.022099,0.109815,0.328215,NA,NA
"Algeria","DZA","DZA",2020-10-14,0.184631,0.189919,NA,NA,NA
"Algeria","DZA","DZA",2020-10-15,0.04882,0.098672,NA,NA,NA
"Algeria","DZA","DZA",2020-10-27,0.092985,0.118138,0.324584,NA,NA
"Algeria","DZA","DZA",2020-10-28,0.108785,0.107536,0.487012,NA,NA
"Algeria","DZA","DZA",2020-10-29,0.180467,0.223227,0.436269,NA,NA
"Algeria","DZA","DZA",2020-10-30,0.118261,0.167327,0.403141,NA,NA
"Algeria","DZA","DZA",2020-10-31,0.135411,0.207166,0.519382,NA,NA
"Algeria","DZA","DZA",2020-11-01,0.09472,0.159996,0.493314,NA,NA
"Algeria","DZA","DZA",2020-11-02,0.099913,0.119751,0.443409,NA,NA
"Algeria","DZA","DZA",2020-11-03,0.15926,0.206952,0.301502,NA,NA
"Algeria","DZA","DZA",2020-11-04,0.111035,0.189994,0.388305,NA,NA
"Algeria","DZA","DZA",2020-11-05,0.139838,0.156371,0.40523,NA,NA
"Algeria","DZA","DZA",2020-11-06,0.128211,0.192496,0.525648,NA,NA
"Algeria","DZA","DZA",2020-11-07,0.10941,0.169557,0.365015,NA,NA
"Algeria","DZA","DZA",2020-11-08,0.102607,0.144697,0.521028,NA,NA
"Algeria","DZA","DZA",2020-11-09,0.154793,0.151991,0.376594,NA,NA
"Algeria","DZA","DZA",2020-11-10,0.081371,0.119224,0.388835,NA,NA
"Algeria","DZA","DZA",2020-11-11,0.08985,0.166538,0.473241,NA,NA
"Algeria","DZA","DZA",2020-11-12,0.128086,0.122694,0.365157,NA,NA
"Algeria","DZA","DZA",2020-11-13,0.1059,0.106678,0.521148,NA,NA
"Algeria","DZA","DZA",2020-11-14,0.146102,0.150329,0.467802,NA,NA
"Algeria","DZA","DZA",2020-11-15,0.093997,0.125389,0.429644,NA,NA
"Algeria","DZA","DZA",2020-11-16,0.035651,0.117752,0.484616,NA,NA
"Algeria","DZA","DZA",2020-11-17,0.131835,0.218759,0.446694,NA,NA
"Algeria","DZA","DZA",2020-11-18,0.133437,0.155411,0.448458,NA,NA
"Algeria","DZA","DZA",2020-11-19,0.07845,0.090994,0.397101,NA,NA
"Algeria","DZA","DZA",2020-11-20,0.066644,0.101595,0.373408,NA,NA
"Algeria","DZA","DZA",2020-11-21,0.109123,0.132236,0.353063,NA,NA
"Algeria","DZA","DZA",2020-11-22,0.114037,0.103503,0.385386,NA,NA
"Algeria","DZA","DZA",2020-11-23,0.116252,0.141139,0.424845,0.246191,0.75397
"Algeria","DZA","DZA",2020-11-24,0.108494,0.182976,0.492109,0.258126,0.696334
"Algeria","DZA","DZA",2020-11-25,0.1195,0.155736,0.432238,0.244206,0.722458
"Algeria","DZA","DZA",2020-11-26,0.108087,0.157033,0.478648,0.272864,0.726858
"Algeria","DZA","DZA",2020-11-27,0.137923,0.177291,0.426108,0.287349,0.742954
"Algeria","DZA","DZA",2020-11-28,0.150777,0.179179,0.381862,0.210963,0.757779
"Algeria","DZA","DZA",2020-11-29,0.168164,0.185395,0.4253,0.26084,0.691603
"Algeria","DZA","DZA",2020-11-30,0.152101,0.200483,0.483327,0.372021,0.783566
"Algeria","DZA","DZA",2020-12-01,0.145268,0.150407,0.479627,0.321448,0.739037
"Algeria","DZA","DZA",2020-12-02,0.109395,0.189628,0.46667,0.253547,0.774855
"Algeria","DZA","DZA",2020-12-03,0.176512,0.152443,0.393107,0.218222,0.696824
"Algeria","DZA","DZA",2020-12-04,0.074198,0.149829,0.419377,0.26152,0.728032
"Algeria","DZA","DZA",2020-12-05,0.106665,0.13111,0.406794,0.24118,0.790147
"Algeria","DZA","DZA",2020-12-06,0.117424,0.116769,0.350255,0.177495,0.693319
"Algeria","DZA","DZA",2020-12-07,0.132604,0.142273,0.408008,0.191911,0.716662
"Algeria","DZA","DZA",2020-12-08,0.166041,0.153914,0.385408,0.228645,0.676299
"Algeria","DZA","DZA",2020-12-09,0.074755,0.166135,0.365499,0.2305,0.725731
"Algeria","DZA","DZA",2020-12-10,0.130748,0.154229,0.427665,0.217817,0.673559
"Algeria","DZA","DZA",2020-12-11,0.132525,0.141236,0.404384,0.228201,0.691314
"Algeria","DZA","DZA",2020-12-12,0.128334,0.162438,0.377422,0.233668,0.692133
"Algeria","DZA","DZA",2020-12-13,0.142608,0.147281,0.465404,0.240923,0.690901
